Name,Description,Size,Host Key
SHB3,Solomon Mahlangu House B1,120,5146-6
SHB3,Solomon Mahlangu House B1,120,5146-4
SHB2,Solomon Mahlangu House B1,120,5146-5
SHB3,Solomon Mahlangu House B1,120,5146-2
GH403,Gate House Building,70,5155-7
GH403,Gate House Building,60,5155-4
GH301,Gate House Building,50,5155-6
GH403,Gate House Building,100,5155-5
U11,Umthombo Building,100,5161-5
U11,Umthombo Building,100,5161-2
U11,Umthombo Building,100,5161-3
U2,Umthombo Building,100,5161-4
GH600,Gate House Building,30,10202-1
GH600,Gate House Building,30,10202-4
GH600,Gate House Building,30,10202-2
GHLG2,Gate House Building,30,10202-3
CB230,Robert Sobukwe Building 2nd floor,40,5184-2
CB149,Robert Sobukwe Building 1st floor,40,5184-5
CB230,Robert Sobukwe Building 2nd floor,40,5184-3
SH3113,Solomon Mahlangu House 3rd floor,40,5184-1
CB149,Robert Sobukwe Building 1st floor,50,5185-2
CB227,Robert Sobukwe Building 2nd floor,50,5185-3
GH600,Gate House Building,40,5185-4
GH600,Gate House Building,40,5185-1
SH3113,Solomon Mahlangu House 3rd floor,40,5186-3
SH3113,Solomon Mahlangu House 3rd floor,40,5186-4
SH3113,Solomon Mahlangu House 3rd floor,40,5186-2
SH3113,Solomon Mahlangu House 3rd floor,40,5186-1
SH3118,Solomon Mahlangu House 3rd floor,80,5187-4
SH3118,Solomon Mahlangu House 3rd floor,80,5187-1
SH3118,Solomon Mahlangu House 3rd floor,80,5187-3
SH3118,Solomon Mahlangu House 3rd floor,80,5187-2
SH3113,Solomon Mahlangu House 3rd floor,70,5188-1
SH3113,Solomon Mahlangu House 3rd floor,70,5188-4
SH3113,Solomon Mahlangu House 3rd floor,70,5188-2
CB228,Robert Sobukwe Building 2nd floor,70,5188-3
CB230,Robert Sobukwe Building 2nd floor,40,5189-2
CB230,Robert Sobukwe Building 2nd floor,40,5189-4
CB230,Robert Sobukwe Building 2nd floor,40,5189-3
SH3113,Solomon Mahlangu House 3rd floor,40,5189-1
CB149,Robert Sobukwe Building 1st floor,40,5190-4
CB256,Robert Sobukwe Building 2nd floor,50,5190-2
GH600,Gate House Building,50,5190-3
CB227,Robert Sobukwe Building 2nd floor,50,5190-1
SH3113,Solomon Mahlangu House 3rd floor,40,5191-4
SH3113,Solomon Mahlangu House 3rd floor,40,5191-1
SH3113,Solomon Mahlangu House 3rd floor,40,5191-3
SH3113,Solomon Mahlangu House 3rd floor,40,5191-2
SH3118,Solomon Mahlangu House 3rd floor,80,5192-4
SH3118,Solomon Mahlangu House 3rd floor,80,5192-1
SH3118,Solomon Mahlangu House 3rd floor,80,5192-3
SH3118,Solomon Mahlangu House 3rd floor,80,5192-2
SH3118,Solomon Mahlangu House 3rd floor,70,5193-4
NCB148,New Commerce Building,50,5193-3
SH3118,Solomon Mahlangu House 3rd floor,70,5193-1
RW4,Richard Ward Building,70,5193-2
SHBA,Solomon Mahlangu House B1,30,5194-7
SHB4,Solomon Mahlangu House B1,70,5194-4
SHBA,Solomon Mahlangu House B1,30,5194-6
SH3105,Solomon Mahlangu House 3rd floor,30,5194-5
SH3118,Solomon Mahlangu House 3rd floor,35,7851-2
SH3120A,Solomon Mahlangu House 3rd floor,35,7851-4
SHB3,Solomon Mahlangu House B1,120,7851-1
SH3118,Solomon Mahlangu House 3rd floor,35,7851-3
CB253,Robert Sobukwe Building 2nd floor,30,5195-4
SHB4,Solomon Mahlangu House B1,30,5195-1
CB253,Robert Sobukwe Building 2nd floor,30,5195-3
WSS104 (Esorfranki Room),Wits Science Stadium,30,5195-2
SH3103,Solomon Mahlangu House 3rd floor,30,9965-2
SH3103,Solomon Mahlangu House 3rd floor,30,9965-4
SHB4,Solomon Mahlangu House B1,110,9965-1
SH3103,Solomon Mahlangu House 3rd floor,30,9965-3
SH3105,Solomon Mahlangu House 3rd floor,30,9966-3
SH3105,Solomon Mahlangu House 3rd floor,30,9966-1
SH3105,Solomon Mahlangu House 3rd floor,30,9966-2
SHBC,Solomon Mahlangu House B1,30,5196-5
SHBC,Solomon Mahlangu House B1,30,5196-2
CB256,Robert Sobukwe Building 2nd floor,30,5196-3
SHBA,Solomon Mahlangu House B1,30,5196-4
SH3103,Solomon Mahlangu House 3rd floor,30,5197-2
SH3103,Solomon Mahlangu House 3rd floor,30,5197-3
SH3103,Solomon Mahlangu House 3rd floor,30,5197-4
SH3103,Solomon Mahlangu House 3rd floor,30,5197-1
CB226,Robert Sobukwe Building 2nd floor,20,5198-3
CB226,Robert Sobukwe Building 2nd floor,20,5198-4
CB226,Robert Sobukwe Building 2nd floor,20,5198-2
CB231,Robert Sobukwe Building 2nd floor,20,5198-1
CB226,Robert Sobukwe Building 2nd floor,20,10989-4
CB226,Robert Sobukwe Building 2nd floor,20,10989-1
CB226,Robert Sobukwe Building 2nd floor,20,10989-3
CB231,Robert Sobukwe Building 2nd floor,20,10989-2
SH3033,Senate House 3033,10,5200-1
SH3033,Senate House 3033,10,5200-2
SH3033,Senate House 3033,10,5200-3
SH3033,Senate House 3033,10,5200-4
SH3033,Senate House 3033,10,5201-1
SH3033,Senate House 3033,10,5201-3
SH3033,Senate House 3033,10,5201-2
SH3033,Senate House 3033,10,5201-4
SH2143,Solomon Mahlangu House 2nd floor,40,10401-2
CB216A,Robert Sobukwe Building 2nd floor,20,10401-4
SH3113,Solomon Mahlangu House 3rd floor,40,10401-1
CB216A,Robert Sobukwe Building 2nd floor,20,10401-3
SH3120C,Solomon Mahlangu House 3rd floor,20,5202-2
SH3120C,Solomon Mahlangu House 3rd floor,20,5202-4
CB231,Robert Sobukwe Building 2nd floor,20,5202-3
SH3120C,Solomon Mahlangu House 3rd floor,20,10402-2
SH3120C,Solomon Mahlangu House 3rd floor,20,10402-4
SH3113,Solomon Mahlangu House 3rd floor,40,10402-1
CB231,Robert Sobukwe Building 2nd floor,20,10402-3
CB129,Robert Sobukwe Building 1st floor,35,5203-2
CB129,Robert Sobukwe Building 1st floor,35,5203-4
WSS106,Wits Science Stadium,35,5203-3
SH2116,Solomon Mahlangu House 2nd Floor,10,8676-4
SH2116,Solomon Mahlangu House 2nd Floor,20,8676-1
SH2116,Solomon Mahlangu House 2nd Floor,20,8676-3
SH2116,Solomon Mahlangu House 2nd Floor,20,8677-4
SH2116,Solomon Mahlangu House 2nd Floor,20,8677-1
SH2116,Solomon Mahlangu House 2nd Floor,20,8677-3
SH2116,Solomon Mahlangu House 2nd Floor,20,8677-2
SH3033,Senate House 3033,10,5205-2
SH3033,Senate House 3033,10,5205-1
SH3033,Senate House 3033,10,5206-2
SH3033,Senate House 3033,10,5206-1
SH2115,Solomon Mahlangu House 2nd floor,15,5207-3
SH2115,Solomon Mahlangu House 2nd floor,15,5207-2
SH3033,Senate House 3033,10,5208-2
SH3033,Senate House 3033,10,5208-1
SH3033,Senate House 3033,10,5209-1
SH3033,Senate House 3033,10,5209-2
SH2115,Solomon Mahlangu House 2nd floor,15,5210-2
SH2115,Solomon Mahlangu House 2nd floor,15,5210-3
SH3033,Senate House 3033,10,9972-1
SH3033,Senate House 3033,10,9972-2
SH3033,Senate House 3033,10,5211-2
SH3033,Senate House 3033,10,5211-1
SH2115,Solomon Mahlangu House 2nd floor,15,5212-2
SH3033,Senate House 3033,10,5213-1
SH3033,Senate House 3033,10,5214-1
SH3033,Senate House 3033,10,5214-2
SH2114,Solomon Mahlangu House 2nd floor,20,5215-1
SH2114,Solomon Mahlangu House 2nd floor,20,5215-2
SH2114,Solomon Mahlangu House 2nd floor,20,5215-3
SH2114,Solomon Mahlangu House 2nd floor,20,5215-4
SH3033,Senate House 3033,10,8678-1
SH3033,Senate House 3033,10,8678-4
SH3033,Senate House 3033,10,8678-2
SH3033,Senate House 3033,10,8678-3
SH3033,Senate House 3033,10,8681-1
SH3033,Senate House 3033,10,8681-4
SH3033,Senate House 3033,10,8681-2
SH3033,Senate House 3033,10,8681-3
SH2116,Solomon Mahlangu House 2nd Floor,10,8679-1
SH2116,Solomon Mahlangu House 2nd Floor,10,8679-4
SH2114,Solomon Mahlangu House 2nd floor,10,8679-2
SH2116,Solomon Mahlangu House 2nd Floor,10,8679-3
SH2116,Solomon Mahlangu House 2nd Floor,10,8680-1
SH2116,Solomon Mahlangu House 2nd Floor,10,8680-4
SH2116,Solomon Mahlangu House 2nd Floor,10,8680-2
SH3120C,Solomon Mahlangu House 3rd floor,10,8680-3
SH2115,Solomon Mahlangu House 2nd floor,20,10036-4
SH2115,Solomon Mahlangu House 2nd floor,20,10036-1
SH2114,Solomon Mahlangu House 2nd floor,20,10036-2
SH2115,Solomon Mahlangu House 2nd floor,20,10036-3
SH2115,Solomon Mahlangu House 2nd floor,20,10037-4
SH2115,Solomon Mahlangu House 2nd floor,20,10037-1
SH2114,Solomon Mahlangu House 2nd floor,20,10037-2
SH2115,Solomon Mahlangu House 2nd floor,20,10037-3
SH2114,Solomon Mahlangu House 2nd floor,20,10038-4
SH2114,Solomon Mahlangu House 2nd floor,20,10038-1
SH2114,Solomon Mahlangu House 2nd floor,20,10038-2
SH2114,Solomon Mahlangu House 2nd floor,20,10038-3
SH2114,Solomon Mahlangu House 2nd floor,5,5221-1
SH2114,Solomon Mahlangu House 2nd floor,5,5221-2
SH2114,Solomon Mahlangu House 2nd floor,5,5223-1
SH2114,Solomon Mahlangu House 2nd floor,5,5223-2
SH3120C,Solomon Mahlangu House 3rd floor,5,10987-1
SH3120C,Solomon Mahlangu House 3rd floor,5,10987-2
